Region,Sector,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,Residential,1,1.006126849,0.971851258,0.975083957,1.024802165,1.037669173,1.059771691,1.075340157,1.096532954,1.103856907,1.106011785,1.099758295,1.099069566,1.114719309,1.115786234,1.11914631,1.130565536,1.130547622,1.13135436,1.137986896,1.144198587,1.146844776,1.145837336,1.149023312,1.153440692,1.158347231,1.162353982,1.163892974,1.170102515,1.177726812,1.182646872,1.187587487,1.192548741,1.197530722,1.202533515,1.207557208,1.212601887,1.217667642,1.222754558,1.227862726
East North Central,Commercial,1,0.976852219,0.982946811,0.970015929,1.023162072,1.028700111,1.047837451,1.063395099,1.088939103,1.087299429,1.082258323,1.068375672,1.064366706,1.082501962,1.079875548,1.080499094,1.093572178,1.092190362,1.092710119,1.100249271,1.107245283,1.110031384,1.1082941,1.111853638,1.117301512,1.123583144,1.128337072,1.130218279,1.137573973,1.146251407,1.152133201,1.158045177,1.163987489,1.169960293,1.175963746,1.181998004,1.188063226,1.194159571,1.200287198,1.206446268
East North Central,Industrial,1,0.97765665,1.03050979,0.999204987,1.045425738,1.047156591,1.062770493,1.082763605,1.113065245,1.11359142,1.11157633,1.101964844,1.101047443,1.122506167,1.125222556,1.13024501,1.146235649,1.149595637,1.155100144,1.168455852,1.180048792,1.185476756,1.186956908,1.195312957,1.20671801,1.219691458,1.230425962,1.236309183,1.24990232,1.265991893,1.278196325,1.29051841,1.302959283,1.315520088,1.328201983,1.341006133,1.353933718,1.366985928,1.380163964,1.393469039
East South Central,Residential,1,1.002367829,0.899565713,0.917328312,0.918042512,0.928609718,0.937119746,0.943279853,0.941669875,0.93887924,0.936356695,0.930673577,0.92759349,0.92686023,0.926671607,0.925340712,0.9250718,0.924280735,0.924300124,0.924412014,0.923982856,0.921605119,0.923452012,0.92533505,0.926739419,0.921377882,0.9206834,0.918754211,0.920990201,0.925827675,0.925652079,0.925476517,0.925300988,0.925125492,0.924950029,0.9247746,0.924599204,0.924423841,0.924248511,0.924073215
East South Central,Commercial,1,0.990837161,0.919499144,0.924070731,0.91363561,0.925037054,0.933546741,0.939949182,0.93732419,0.929097259,0.924076515,0.91629629,0.912286166,0.911481651,0.910402715,0.908156081,0.907341767,0.905651799,0.904841738,0.90419784,0.903106929,0.89997695,0.901110355,0.902729082,0.903863439,0.898781319,0.898042228,0.895819171,0.898350841,0.903402851,0.903317806,0.903232769,0.90314774,0.903062718,0.902977705,0.9028927,0.902807703,0.902722714,0.902637733,0.90255276
East South Central,Industrial,1,0.971829068,0.947011322,0.936042185,0.919673821,0.925027595,0.929195497,0.937056996,0.936622741,0.929472701,0.927825411,0.922401213,0.922611523,0.925928081,0.928506123,0.931032884,0.93447997,0.937477508,0.942603326,0.947835984,0.952550487,0.955384719,0.961853619,0.968525022,0.975110654,0.976773933,0.981218505,0.983516776,0.992276141,1.002901019,1.008559788,1.014250486,1.019973293,1.025728391,1.031515961,1.037336187,1.043189253,1.049075345,1.054994648,1.06094735
Middle Atlantic,Residential,1,0.953632159,1.043729548,1.044312775,1.061691138,1.060834,1.058746804,1.06709263,1.08003735,1.078944999,1.074728698,1.056996427,1.048562853,1.068061048,1.077668448,1.08327541,1.093738575,1.099309437,1.110461743,1.126780624,1.139529548,1.13553323,1.130175084,1.137679572,1.148237498,1.156959707,1.168798388,1.177455028,1.194743363,1.210365962,1.223194414,1.236158833,1.249260659,1.26250135,1.275882376,1.289405225,1.3030714,1.316882421,1.330839822,1.344945155
Middle Atlantic,Commercial,1,0.932512577,0.87968301,0.865468559,0.886685951,0.896640381,0.890872389,0.905070922,0.924625732,0.91864473,0.914604799,0.895297815,0.890739114,0.914698206,0.925353362,0.932231598,0.945943905,0.952698534,0.963875511,0.98052705,0.992158687,0.986387619,0.978662467,0.986163353,0.997140577,1.00648715,1.018179895,1.027263116,1.046508627,1.065037591,1.079171075,1.093492116,1.108003203,1.122706859,1.137605637,1.152702129,1.167998957,1.183498781,1.199204293,1.215118224
Middle Atlantic,Industrial,1,0.904129554,1.095683736,1.059342,1.051842268,1.0332806,1.032920061,1.048140426,1.074977835,1.0649327,1.06307868,1.048476213,1.043937436,1.068766522,1.085005713,1.097062087,1.116554391,1.128648642,1.147046649,1.171135618,1.186744879,1.178214411,1.16881622,1.180590645,1.197912748,1.213121851,1.230434597,1.244058707,1.271741315,1.297671301,1.318610882,1.33988835,1.361509158,1.383478844,1.40580304,1.428487464,1.451537931,1.474960347,1.498760713,1.522945128
Mountain,Residential,1,1.019863926,0.991209452,1.000043497,1.006203842,1.008453378,1.009086306,1.013420995,1.016075457,1.021765142,1.026654957,1.03436387,1.044059887,1.055737637,1.068449861,1.080528621,1.09300602,1.098643522,1.104142479,1.113544001,1.128152513,1.139818355,1.145989188,1.150578728,1.158536933,1.172906514,1.186410048,1.191636306,1.196303584,1.201821431,1.210678929,1.219601707,1.228590247,1.237645033,1.246766553,1.2559553,1.265211768,1.274536456,1.283929869,1.293392511
