"","sector","gid","year","customer_expec_elec_rates","ownership_model","loan_term_yrs","loan_rate","down_payment","discount_rate","tax_rate","length_of_irr_analysis_yrs","market_share_last_year","number_of_adopters_last_year","installed_capacity_last_year","market_value_last_year","value_of_increment","value_of_pbi_fit","value_of_ptc","pbi_fit_length","ptc_length","value_of_rebate","value_of_tax_credit_or_deduction","cap","ic","aep","payback_period","lcoe","payback_key","max_market_share","diffusion_market_share","new_market_share","new_adopters","new_capacity","new_market_value","market_share","number_of_adopters","installed_capacity","market_value","county_id","state_abbr","census_division_abbr","utility_type","census_region","row_number","max_height","elec_rate_cents_per_kwh","carbon_price_cents_per_kwh","cap_cost_multiplier","fixed_om_dollars_per_kw_per_yr","variable_om_dollars_per_kwh","installed_costs_dollars_per_kw","ann_cons_kwh","prob","weight","customers_in_bin","initial_customers_in_bin","load_kwh_in_bin","initial_load_kwh_in_bin","load_kwh_per_customer_in_bin","nem_system_limit_kw","excess_generation_factor","i","j","cf_bin","aep_scale_factor","derate_factor","naep","nameplate_capacity_kw","power_curve_id","turbine_height_m","scoe"
"1","residential",3533975,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.0015754867077704,27.5196884606199,0.0528876919632942,521.510995574819,0,73.8785484313965,0,10,0,0,0,2.5,24651.8129367777,2955.14193725586,30,73.5304608088062,300,0,0.0015754867077704,0,0,0,0,0.0015754867077704,27.5196884606199,0.0528876919632942,521.510995574819,310,"CA","PAC","IOU","West",1,40,14.9877368278188,0,1.12308942764363,0,0.02,9860.72517471107,5537.4988312099,0.095197787139064,2365484.800996,17467.4202739325,17467.4202739325,71660115.2438718,71660115.2438718,4102.50134937291,1000,0.574000000953674,30,81,18,1,0.85,1182.05677490234,2.5,1,40,0.267591040363
"2","residential",3534232,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.0015754867077704,27.0259835385402,0.0519388834810661,454.406365076146,0,111.917036002023,0,10,0,0,0,5,43744.3332067194,4476.68144008092,30,85.7888277113615,300,0,0.0015754867077704,0,0,0,0,0.0015754867077704,27.0259835385402,0.0519388834810661,454.406365076146,310,"CA","PAC","IOU","West",3,30,14.9877368278188,0,1.12308942764363,0,0.02,8748.86664134388,7939.81093475385,0.0934899329186609,2323047.856587,17154.0536681435,17154.0536681435,100904842.876029,100904842.876029,5882.27394108117,1000,0.555999994277954,30,80,21,0.857142857142857,0.85,895.336288016183,5,1,30,0.310021380952
"3","residential",3535315,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.0015754867077704,33.0228951614243,0.0634638255274139,498.00227824427,0,481.099584960938,0,10,0,0,0,20,156940.516618921,19243.9833984375,30,71.9295299062458,300,0,0.0015754867077704,0,0,0,0,0.0015754867077704,33.0228951614243,0.0634638255274139,498.00227824427,310,"CA","PAC","IOU","West",10,50,14.9877368278188,0,1.12308942764363,0,0.02,7847.02583094604,24395.6832353969,0.114234815877057,2838518.92804,20960.4403506252,20960.4403506252,378833584.25809,378833584.25809,18073.7416734086,1000,0.592000007629395,30,81,15,1,0.85,962.199169921875,20,1,50,0.262049678778
"4","residential",3563882,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.0015754867077704,28.0895889464384,0.0539829340619404,472.289491016377,0,71.3340399169922,0,10,0,0,0,5,43744.3332067194,2853.36159667969,30,133.457537782127,300,0,0.0015754867077704,0,0,0,0,0.0015754867077704,28.0895889464384,0.0539829340619404,472.289491016377,310,"CA","PAC","IOU","West",7,30,14.9877368278188,0,1.12308942764363,0,0.02,8748.86664134388,3436.48827589968,0.0971692217073381,2414471.218092,17829.1500701966,17829.1500701966,45392133.1201734,45392133.1201734,2545.95047668882,1000,0.584999978542328,29,81,15,0.8,0.85,570.672319335937,5,1,30,0.475018857352
"5","residential",3586501,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,9.16960259101148,0.0175757754261265,152.701428463879,0,36.3411121368408,0,10,0,0,0,5,43440.8794951053,1453.64448547363,30,258.248250295542,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,9.16960259101148,0.0175757754261265,152.701428463879,309,"CA","PAC","IOU","West",4,50,14.9877368278188,0,1.11529857497061,0,0.02,8688.17589902105,2136.49164356157,0.10054983314997,2498473.012944,9156.04689961251,9156.04689961251,14454303.5670391,14454303.5670391,1578.66202800369,1000,0.428999990224838,32,91,6,1,0.85,290.728897094727,5,1,40,0.913157402864
"6","residential",3588356,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,9.30933240564339,0.0178436016288359,139.047892017791,0,180.934826660156,0,10,0,0,0,20,155851.822866393,7237.39306640625,30,186.650390582366,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,9.30933240564339,0.0178436016288359,139.047892017791,309,"CA","PAC","IOU","West",2,50,14.9877368278188,0,1.11529857497061,0,0.02,7792.59114331965,14451.5388051305,0.10208204890391,2536545.673945,9295.57014757727,9295.57014757727,99260872.9600699,99260872.9600699,10678.2985211446,1000,0.421999990940094,32,92,6,1,0.85,361.869653320313,20,1,50,0.663601909867
"7","residential",3599595,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,10.4175992225433,0.0199678647572243,155.60140605815,0,250.036418151855,0,10,0,0,0,20,155851.822866393,10001.4567260742,30,135.61928098194,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,10.4175992225433,0.0199678647572243,155.60140605815,309,"CA","PAC","IOU","West",10,50,14.9877368278188,0,1.11529857497061,0,0.02,7792.59114331965,24395.6832353969,0.114234815877057,2838518.92804,10402.1985812638,10402.1985812638,187510715.228437,187510715.228437,18026.065717124,1000,0.465999990701675,32,94,9,1,0.85,500.072836303711,20,1,50,0.485732155583
"8","residential",3605333,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,9.00600400886797,0.0172621989203567,142.468543339825,0,74.0139614105225,0,10,0,0,0,10,82532.0945478251,2960.5584564209,30,241.039532508526,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,9.00600400886797,0.0172621989203567,142.468543339825,309,"CA","PAC","IOU","West",7,50,14.9877368278188,0,1.11529857497061,0,0.02,8253.20945478251,6616.01646097976,0.0987558829787572,2453896.747137,8992.6901700325,8992.6901700325,43961669.0160392,43961669.0160392,4888.6004282165,1000,0.563000023365021,34,90,6,1,0.85,296.05584564209,10,1,40,0.853176139899
"9","residential",3605497,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,8.52577775883356,0.0163417284157125,127.344408118816,0,92.3822479248047,0,10,0,0,0,20,155851.822866393,3695.28991699219,30,363.646172974105,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,8.52577775883356,0.0163417284157125,127.344408118816,309,"CA","PAC","IOU","West",9,50,14.9877368278188,0,1.11529857497061,0,0.02,7792.59114331965,7939.81093475385,0.0934899329186609,2323047.856587,8513.17385249326,8513.17385249326,49944725.1878464,49944725.1878464,5866.7573402391,1000,0.535000026226044,34,92,3,1,0.85,184.764495849609,20,1,50,1.28052355962
"10","residential",3606139,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,8.94606570710748,0.0171473125748788,133.621996102734,0,161.613902282715,0,10,0,0,0,20,155851.822866393,6464.55609130859,30,208.725324621555,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,8.94606570710748,0.0171473125748788,133.621996102734,309,"CA","PAC","IOU","West",6,50,14.9877368278188,0,1.11529857497061,0,0.02,7792.59114331965,9553.71005143396,0.0980986258968398,2437565.152839,8932.84047681458,8932.84047681458,63059365.9073733,63059365.9073733,7059.2737070639,1000,0.515999972820282,34,91,6,1,0.85,323.22780456543,20,1,50,0.740544447942
