ID,pca.region,pca,gasct,cofirenew,cofireold,biopower,nuclear,year
1,129,p129,1.09,1.02,1.006,1,1.01,2014
2,106,p106,1.02,1.02,0.984,1.01,1.01,2014
3,120,p120,1.2,1.16,1.017,1.11,1.08,2014
4,8,p8,1.08,1.13,1.075,1.08,1.06,2014
5,80,p80,1.06,1.09,1.078,1.07,1.04,2014
6,16,p16,1.01,0.98,0.995,0.99,0.99,2014
7,54,p54,1.02,1.01,1.007,0.99,1,2014
8,47,p47,1.01,0.96,0.977,0.94,0.98,2014
9,103,p103,1.03,1.01,1.003,1.01,1.01,2014
10,115,p115,1.12,1.1,1.001,1.06,1.05,2014
11,110,p110,1,0.96,0.949,0.95,0.99,2014
12,46,p46,1.04,1.04,1.045,1.03,1.02,2014
13,99,p99,1.11,1.1,0.979,1.05,1.05,2014
14,48,p48,1.01,0.95,0.971,0.94,0.98,2014
15,28,p28,1.02,0.99,0.989,1.04,1,2014
16,83,p83,1.03,1.03,1.015,1.02,1.01,2014
17,36,p36,0.99,0.93,0.971,0.93,0.97,2014
18,94,p94,0.97,0.9,0.917,0.9,0.96,2014
19,15,p15,1,0.98,0.999,0.97,0.99,2014
20,77,p77,1.03,1.01,1.023,1.01,1.01,2014
21,125,p125,1.22,1.21,1.041,1.15,1.11,2014
22,4,p4,1.03,1.04,1.026,1.02,1.02,2014
79,17,p17,1.01,0.98,1,0.99,0.99,2014
80,66,p66,0.96,0.9,0.916,0.9,0.96,2014
81,89,p89,0.97,0.91,0.924,0.91,0.96,2014
82,121,p121,1.19,1.16,1.01,1.11,1.09,2014
83,50,p50,0.99,0.94,0.963,0.94,0.98,2014
84,33,p33,1.02,0.97,0.975,0.94,0.99,2014
85,19,p19,1,0.96,0.985,0.94,0.98,2014
86,108,p108,0.99,0.97,0.96,0.96,0.99,2014
87,57,p57,0.98,0.92,0.936,0.92,0.97,2014
88,109,p109,0.98,0.95,0.946,0.95,0.98,2014
89,51,p51,0.99,0.95,0.968,0.94,0.98,2014
90,31,p31,1.03,0.96,0.986,0.97,0.99,2014
91,35,p35,1,0.94,0.974,0.93,0.98,2014
92,65,p65,0.97,0.91,0.928,0.91,0.97,2014
93,52,p52,1.01,0.96,0.977,0.94,0.99,2014
94,76,p76,1.03,1.04,1.021,1.03,1.02,2014
95,69,p69,1.01,0.96,0.994,0.96,0.99,2014
96,37,p37,1,0.95,0.984,0.95,0.98,2014
