,state_abbr,year,Market.Share,Market.Value,Number.of.Adopters,Installed.Capacity,Annual.Generation
225,AL,2014,0.003577104,527876.7349,40.14203616,0.076070914,0.153267678
231,AL,2016,0.003471895,527876.7349,40.14203616,0.076070914,0.153267678
91,AL,2018,0.003372698,527876.7349,40.14203616,0.076070914,0.153267678
411,AL,2020,0.003279012,527876.7349,40.14203616,0.076070914,0.153267678
361,AL,2022,0.003219393,527876.7349,40.14203616,0.076070914,0.153267678
401,AL,2024,0.003133923,527876.7349,40.14203616,0.076070914,0.153267678
396,AL,2026,0.003106432,527876.7349,40.14203616,0.076070914,0.153267678
578,AL,2028,0.00307942,527876.7349,40.14203616,0.076070914,0.153267678
529,AL,2030,0.00302678,527876.7349,40.14203616,0.076070914,0.153267678
355,AL,2032,0.003001129,527876.7349,40.14203616,0.076070914,0.153267678
44,AL,2034,0.002951111,527876.7349,40.14203616,0.076070914,0.153267678
63,AL,2036,0.002926721,527876.7349,40.14203616,0.076070914,0.153267678
457,AL,2038,0.002879132,527876.7349,40.14203616,0.076070914,0.153267678
636,AL,2040,0.002833066,527876.7349,40.14203616,0.076070914,0.153267678
263,AR,2014,0.052123571,4836123.858,356.8495105,0.676245428,1.362499288
268,AR,2016,0.050634326,4836123.858,356.8495105,0.676245428,1.362499288
66,AR,2018,0.049227817,4836123.858,356.8495105,0.676245428,1.362499288
421,AR,2020,0.048332766,4836123.858,356.8495105,0.676245428,1.362499288
490,AR,2022,0.047469681,4836123.858,356.8495105,0.676245428,1.362499288
445,AR,2024,0.046636879,4836123.858,356.8495105,0.676245428,1.362499288
442,AR,2026,0.045832795,4836123.858,356.8495105,0.676245428,1.362499288
617,AR,2028,0.045055968,4836123.858,356.8495105,0.676245428,1.362499288
670,AR,2030,0.044677347,4836123.858,356.8495105,0.676245428,1.362499288
487,AR,2032,0.043938878,4836123.858,356.8495105,0.676245428,1.362499288
110,AR,2034,0.043227404,4836892.63,356.8741085,0.676368418,1.362858347
88,AR,2036,0.042548572,4840183.442,356.9815515,0.676905633,1.364426703
386,AR,2038,0.041895812,4844608.894,357.1289886,0.677642818,1.366578857
556,AR,2040,0.040945848,4848936.942,357.2761232,0.678378492,1.368726596
117,AZ,2014,0.143137792,17934875.93,1261.01581,2.389680107,4.81472748
115,AZ,2016,0.137684924,17934875.93,1261.01581,2.389680107,4.81472748
211,AZ,2018,0.132632266,17934875.93,1261.01581,2.389680107,4.81472748
630,AZ,2020,0.129079616,17934875.93,1261.01581,2.389680107,4.81472748
675,AZ,2022,0.124628595,17934875.93,1261.01581,2.389680107,4.81472748
597,AZ,2024,0.121486698,17934875.93,1261.01581,2.389680107,4.81472748
605,AZ,2026,0.11849932,17934875.93,1261.01581,2.389680107,4.81472748
453,AZ,2028,0.11658804,17934875.93,1261.01581,2.389680107,4.81472748
484,AZ,2030,0.113833992,17934875.93,1261.01581,2.389680107,4.81472748
677,AZ,2032,0.111207054,17934875.93,1261.01581,2.389680107,4.81472748
262,AZ,2034,0.108698624,17934875.93,1261.01581,2.389680107,4.81472748
283,AZ,2036,0.10630086,17934875.93,1261.01581,2.389680107,4.81472748
