scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
Planning,2015,res,MEX,1,1
Planning,2015,res,MEX,2,1
Planning,2015,res,MEX,3,1
Planning,2015,res,MEX,4,1
Planning,2015,res,MEX,5,1
Planning,2015,res,MEX,6,1
Planning,2015,res,MEX,7,1
Planning,2015,res,MEX,8,1
Planning,2015,res,MEX,9,1
Low,2015,res,MEX,1,1
Low,2015,res,MEX,2,1
Low,2015,res,MEX,3,1
Low,2015,res,MEX,4,1
Low,2015,res,MEX,5,1
Low,2015,res,MEX,6,1
Low,2015,res,MEX,7,1
Low,2015,res,MEX,8,1
Low,2015,res,MEX,9,1
High,2015,res,MEX,1,1
High,2015,res,MEX,2,1
High,2015,res,MEX,3,1
High,2015,res,MEX,4,1
High,2015,res,MEX,5,1
High,2015,res,MEX,6,1
High,2015,res,MEX,7,1
High,2015,res,MEX,8,1
High,2015,res,MEX,9,1
Planning,2015,com,MEX,1,1
Planning,2015,com,MEX,2,1
Planning,2015,com,MEX,3,1
Planning,2015,com,MEX,4,1
Planning,2015,com,MEX,5,1
Planning,2015,com,MEX,6,1
Planning,2015,com,MEX,7,1
Planning,2015,com,MEX,8,1
Planning,2015,com,MEX,9,1
Low,2015,com,MEX,1,1
Low,2015,com,MEX,2,1
Low,2015,com,MEX,3,1
Low,2015,com,MEX,4,1
Low,2015,com,MEX,5,1
Low,2015,com,MEX,6,1
Low,2015,com,MEX,7,1
Low,2015,com,MEX,8,1
Low,2015,com,MEX,9,1
High,2015,com,MEX,1,1
High,2015,com,MEX,2,1
High,2015,com,MEX,3,1
High,2015,com,MEX,4,1
High,2015,com,MEX,5,1
High,2015,com,MEX,6,1
High,2015,com,MEX,7,1
High,2015,com,MEX,8,1
High,2015,com,MEX,9,1
Planning,2015,ind,MEX,1,1
Planning,2015,ind,MEX,2,1
Planning,2015,ind,MEX,3,1
Planning,2015,ind,MEX,4,1
Planning,2015,ind,MEX,5,1
Planning,2015,ind,MEX,6,1
Planning,2015,ind,MEX,7,1
Planning,2015,ind,MEX,8,1
Planning,2015,ind,MEX,9,1
Low,2015,ind,MEX,1,1
Low,2015,ind,MEX,2,1
Low,2015,ind,MEX,3,1
Low,2015,ind,MEX,4,1
Low,2015,ind,MEX,5,1
Low,2015,ind,MEX,6,1
Low,2015,ind,MEX,7,1
Low,2015,ind,MEX,8,1
Low,2015,ind,MEX,9,1
High,2015,ind,MEX,1,1
High,2015,ind,MEX,2,1
High,2015,ind,MEX,3,1
High,2015,ind,MEX,4,1
High,2015,ind,MEX,5,1
High,2015,ind,MEX,6,1
High,2015,ind,MEX,7,1
High,2015,ind,MEX,8,1
High,2015,ind,MEX,9,1
Planning,2016,res,MEX,1,1.018939346
Planning,2016,res,MEX,2,1.017198337
Planning,2016,res,MEX,3,1.019100592
Planning,2016,res,MEX,4,1.044911788
Planning,2016,res,MEX,5,1.030389622
Planning,2016,res,MEX,6,1.026761127
Planning,2016,res,MEX,7,1.003325459
Planning,2016,res,MEX,8,1.019691497
Planning,2016,res,MEX,9,1.051819387
Low,2016,res,MEX,1,1.016577822
Low,2016,res,MEX,2,1.014876849
Low,2016,res,MEX,3,1.016803542
Low,2016,res,MEX,4,1.042516996
Low,2016,res,MEX,5,1.027979067
Low,2016,res,MEX,6,1.023578376
Low,2016,res,MEX,7,1.000789932
Low,2016,res,MEX,8,1.014565537
Low,2016,res,MEX,9,1.051819387
High,2016,res,MEX,1,1.029173557
High,2016,res,MEX,2,1.026357673
High,2016,res,MEX,3,1.025516366
High,2016,res,MEX,4,1.047664461
High,2016,res,MEX,5,1.037230947
High,2016,res,MEX,6,1.036637294
High,2016,res,MEX,7,1.010137896
High,2016,res,MEX,8,1.029495089
High,2016,res,MEX,9,1.058871724
Planning,2016,com,MEX,1,1.018939346
Planning,2016,com,MEX,2,1.017198337
Planning,2016,com,MEX,3,1.019100592
Planning,2016,com,MEX,4,1.044911788
Planning,2016,com,MEX,5,1.030389622
Planning,2016,com,MEX,6,1.026761127
Planning,2016,com,MEX,7,1.003325459
Planning,2016,com,MEX,8,1.019691497
Planning,2016,com,MEX,9,1.051819387
Low,2016,com,MEX,1,1.016577822
Low,2016,com,MEX,2,1.014876849
Low,2016,com,MEX,3,1.016803542
Low,2016,com,MEX,4,1.042516996
Low,2016,com,MEX,5,1.027979067
Low,2016,com,MEX,6,1.023578376
Low,2016,com,MEX,7,1.000789932
Low,2016,com,MEX,8,1.014565537
Low,2016,com,MEX,9,1.051819387
High,2016,com,MEX,1,1.029173557
High,2016,com,MEX,2,1.026357673
High,2016,com,MEX,3,1.025516366
High,2016,com,MEX,4,1.047664461
High,2016,com,MEX,5,1.037230947
High,2016,com,MEX,6,1.036637294
High,2016,com,MEX,7,1.010137896
High,2016,com,MEX,8,1.029495089
High,2016,com,MEX,9,1.058871724
Planning,2016,ind,MEX,1,1.018939346
Planning,2016,ind,MEX,2,1.017198337
Planning,2016,ind,MEX,3,1.019100592
Planning,2016,ind,MEX,4,1.044911788
Planning,2016,ind,MEX,5,1.030389622
Planning,2016,ind,MEX,6,1.026761127
Planning,2016,ind,MEX,7,1.003325459
Planning,2016,ind,MEX,8,1.019691497
Planning,2016,ind,MEX,9,1.051819387
Low,2016,ind,MEX,1,1.016577822
Low,2016,ind,MEX,2,1.014876849
Low,2016,ind,MEX,3,1.016803542
Low,2016,ind,MEX,4,1.042516996
Low,2016,ind,MEX,5,1.027979067
Low,2016,ind,MEX,6,1.023578376
