country_abbr,control_reg_id,state,p,q,teq_yr1,sector_abbr
MEX,3,Aguascalientes,0.001867407,0.557846245,2,com
MEX,8,BajaCalifornia,0.00428822,0.699990615,2,com
MEX,9,BajaCaliforniaSur,0.005088798,0.699978979,2,com
MEX,7,Campeche,0.001317252,0.637164123,2,com
MEX,2,Chiapas,0.000413564,0.525939361,2,com
MEX,5,Chihuahua,0.004357051,0.699907631,2,com
MEX,6,CoahuiladeZaragoza,0.002906709,0.554103723,2,com
MEX,3,Colima,0.006012912,0.489497682,2,com
MEX,1,DistritoFederal,0.001798158,0.684925059,2,com
MEX,5,Durango,0.001503292,0.439416068,2,com
MEX,3,Guanajuato,0.001729796,0.669572633,2,com
MEX,2,Guerrero,0.000501114,0.509228232,2,com
MEX,1,Hidalgo,0.00028545,0.478319799,2,com
MEX,3,Jalisco,0.00598131,0.418842831,2,com
MEX,1,Mexico,0.000626295,0.556891302,2,com
MEX,3,MichoacandeOcampo,0.002161544,0.614203545,2,com
MEX,2,Morelos,0.002353556,0.627168172,2,com
MEX,3,Nayarit,0.003011849,0.500986327,2,com
MEX,6,NuevoLeon,0.005345652,0.448019173,2,com
MEX,2,Oaxaca,0.000453302,0.535590375,2,com
MEX,2,Puebla,0.000677232,0.571111748,2,com
MEX,3,Queretaro,0.003940009,0.693749399,2,com
MEX,7,QuintanaRoo,0.001773731,0.686228142,2,com
MEX,3,SanLuisPotosi,0.001867407,0.557846245,2,com
MEX,4,Sinaloa,0.001159771,0.636208281,2,com
MEX,4,Sonora,0.00342386,0.699965869,2,com
MEX,2,Tabasco,0.001255812,0.645257648,2,com
MEX,6,Tamaulipas,0.000679172,0.555591157,2,com
MEX,2,Tlaxcala,0.00012009,0.284193177,2,com
MEX,2,VeracruzdeIgnaciodelaLlave,0.000761455,0.415879347,2,com
MEX,7,Yucatan,0.004922565,0.699927245,2,com
MEX,3,Zacatecas,0.000545308,0.555103569,2,com
MEX,3,Aguascalientes,0.001867407,0.557846245,2,ind
MEX,8,BajaCalifornia,0.00428822,0.699990615,2,ind
MEX,9,BajaCaliforniaSur,0.005088798,0.699978979,2,ind
MEX,7,Campeche,0.001317252,0.637164123,2,ind
MEX,2,Chiapas,0.000413564,0.525939361,2,ind
MEX,5,Chihuahua,0.004357051,0.699907631,2,ind
MEX,6,CoahuiladeZaragoza,0.002906709,0.554103723,2,ind
MEX,3,Colima,0.006012912,0.489497682,2,ind
MEX,1,DistritoFederal,0.001798158,0.684925059,2,ind
MEX,5,Durango,0.001503292,0.439416068,2,ind
MEX,3,Guanajuato,0.001729796,0.669572633,2,ind
MEX,2,Guerrero,0.000501114,0.509228232,2,ind
MEX,1,Hidalgo,0.00028545,0.478319799,2,ind
MEX,3,Jalisco,0.00598131,0.418842831,2,ind
MEX,1,Mexico,0.000626295,0.556891302,2,ind
MEX,3,MichoacandeOcampo,0.002161544,0.614203545,2,ind
MEX,2,Morelos,0.002353556,0.627168172,2,ind
MEX,3,Nayarit,0.003011849,0.500986327,2,ind
MEX,6,NuevoLeon,0.005345652,0.448019173,2,ind
MEX,2,Oaxaca,0.000453302,0.535590375,2,ind
MEX,2,Puebla,0.000677232,0.571111748,2,ind
MEX,3,Queretaro,0.003940009,0.693749399,2,ind
MEX,7,QuintanaRoo,0.001773731,0.686228142,2,ind
MEX,3,SanLuisPotosi,0.001867407,0.557846245,2,ind
MEX,4,Sinaloa,0.001159771,0.636208281,2,ind
MEX,4,Sonora,0.00342386,0.699965869,2,ind
MEX,2,Tabasco,0.001255812,0.645257648,2,ind
MEX,6,Tamaulipas,0.000679172,0.555591157,2,ind
MEX,2,Tlaxcala,0.00012009,0.284193177,2,ind
MEX,2,VeracruzdeIgnaciodelaLlave,0.000761455,0.415879347,2,ind
MEX,7,Yucatan,0.004922565,0.699927245,2,ind
MEX,3,Zacatecas,0.000545308,0.555103569,2,ind
MEX,3,Aguascalientes,0.001867407,0.557846245,2,res
MEX,8,BajaCalifornia,0.00428822,0.699990615,2,res
MEX,9,BajaCaliforniaSur,0.005088798,0.699978979,2,res
MEX,7,Campeche,0.001317252,0.637164123,2,res
MEX,2,Chiapas,0.000413564,0.525939361,2,res
MEX,5,Chihuahua,0.004357051,0.699907631,2,res
MEX,6,CoahuiladeZaragoza,0.002906709,0.554103723,2,res
MEX,3,Colima,0.006012912,0.489497682,2,res
MEX,1,DistritoFederal,0.001798158,0.684925059,2,res
MEX,5,Durango,0.001503292,0.439416068,2,res
MEX,3,Guanajuato,0.001729796,0.669572633,2,res
MEX,2,Guerrero,0.000501114,0.509228232,2,res
MEX,1,Hidalgo,0.00028545,0.478319799,2,res
MEX,3,Jalisco,0.00598131,0.418842831,2,res
MEX,1,Mexico,0.000626295,0.556891302,2,res
MEX,3,MichoacandeOcampo,0.002161544,0.614203545,2,res
MEX,2,Morelos,0.002353556,0.627168172,2,res
MEX,3,Nayarit,0.003011849,0.500986327,2,res
MEX,6,NuevoLeon,0.005345652,0.448019173,2,res
MEX,2,Oaxaca,0.000453302,0.535590375,2,res
MEX,2,Puebla,0.000677232,0.571111748,2,res
MEX,3,Queretaro,0.003940009,0.693749399,2,res
MEX,7,QuintanaRoo,0.001773731,0.686228142,2,res
MEX,3,SanLuisPotosi,0.001867407,0.557846245,2,res
MEX,4,Sinaloa,0.001159771,0.636208281,2,res
MEX,4,Sonora,0.00342386,0.699965869,2,res
MEX,2,Tabasco,0.001255812,0.645257648,2,res
MEX,6,Tamaulipas,0.000679172,0.555591157,2,res
MEX,2,Tlaxcala,0.00012009,0.284193177,2,res
MEX,2,VeracruzdeIgnaciodelaLlave,0.000761455,0.415879347,2,res
MEX,7,Yucatan,0.004922565,0.699927245,2,res
MEX,3,Zacatecas,0.000545308,0.555103569,2,res
