year,res,com,ind
2014,13.94259369,13.94259369,13.94259369
2015,14.40734682,14.40734682,14.40734682
2016,14.87209994,14.87209994,14.87209994
2017,14.87209994,14.87209994,14.87209994
2018,14.87209994,14.87209994,14.87209994
2019,15.33685306,15.33685306,15.33685306
2020,15.80160619,15.80160619,15.80160619
2021,15.80160619,15.80160619,15.80160619
2022,15.80160619,15.80160619,15.80160619
2023,16.26635931,16.26635931,16.26635931
2024,16.73111243,16.73111243,16.73111243
2025,16.73111243,16.73111243,16.73111243
2026,16.73111243,16.73111243,16.73111243
2027,17.19586556,17.19586556,17.19586556
2028,17.66061868,17.66061868,17.66061868
2029,17.66061868,17.66061868,17.66061868
2030,17.66061868,17.66061868,17.66061868
2031,18.1253718,18.1253718,18.1253718
2032,18.59012493,18.59012493,18.59012493
2033,18.59012493,18.59012493,18.59012493
2034,18.59012493,18.59012493,18.59012493
2035,19.05487805,19.05487805,19.05487805
2036,19.51963117,19.51963117,19.51963117
2037,19.51963117,19.51963117,19.51963117
2038,19.51963117,19.51963117,19.51963117
2039,19.9843843,19.9843843,19.9843843
2040,20.44913742,20.44913742,20.44913742
2041,20.44913742,20.44913742,20.44913742
2042,20.44913742,20.44913742,20.44913742
2043,20.44913742,20.44913742,20.44913742
2044,20.44913742,20.44913742,20.44913742
2045,20.44913742,20.44913742,20.44913742
2046,20.44913742,20.44913742,20.44913742
2047,20.44913742,20.44913742,20.44913742
2048,20.44913742,20.44913742,20.44913742
2049,20.44913742,20.44913742,20.44913742
2050,20.44913742,20.44913742,20.44913742
