building_type,crb_model,tot_sqft
Large Office,large_office,498588
Medium Office,medium_office,53628
Small Office,small_office,5500
Warehouse,warehouse,52045
Stand-alone Retail,stand_alone_retail,24962
Strip Mall,strip_mall,22500
Primary School,primary_school,73960
Secondary School,secondary_school,210887
Supermarket,supermarket,45000
Quick Service Restaurant,quick_service_restaurant,2500
Full Service Restaurant,full_service_restaurant,5500
Hospital,hospital,241351
Outpatient Health Care,out_patient,40946
Small Hotel,small_hotel,43200
Large Hotel,large_hotel,122120
Midrise Apartment,midrise_apartment,33740
Single-Family Home,reference,2000
