header,startColumn,endColumn,startRow,endRow,df_prefix,tc_val,col_prefix
TRUE,2,9,4,20,baseline,tc_1,
TRUE,2,9,26,42,baseline,tc_2,
TRUE,2,9,48,64,baseline,tc_3,
TRUE,12,19,4,20,ghp,tc_1,
TRUE,12,19,26,42,ghp,tc_2,
TRUE,12,19,48,64,ghp,tc_3,
TRUE,22,29,4,20,savings_abs,tc_1,savings_abs_
TRUE,22,29,26,42,savings_abs,tc_2,savings_abs_
TRUE,22,29,48,64,savings_abs,tc_3,savings_abs_
TRUE,32,39,4,20,savings_pct,tc_1,savings_pct_
TRUE,32,39,26,42,savings_pct,tc_2,savings_pct_
TRUE,32,39,48,64,savings_pct,tc_3,savings_pct_
TRUE,42,47,4,20,ghx_sizing,tc_1,
TRUE,42,47,26,42,ghx_sizing,tc_2,
TRUE,42,47,48,64,ghx_sizing,tc_3,
FALSE,2,2,2,2,ground_thermal_conductivity_btu_per_hftF,tc_1,
FALSE,2,2,24,24,ground_thermal_conductivity_btu_per_hftF,tc_2,
FALSE,2,2,46,46,ground_thermal_conductivity_btu_per_hftF,tc_3,
