"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"Medium Office",1.348,223360,2.51,764.83768,2627.43512224,176.458730008752,18252.3710333333,204.251,194520,0,663.89676,2285.79654468,153.525050793576,15879.316,174.701,28840,2.51,100.94092,341.638577560001,22.933679215176,2373.05503333334,29.55,,,,,,,,42000,113,371.681415929204,85.3,67.8,"Houston","2A"
"School",1.348,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1122.691,1602600,0,5469.6738,18832.0868934,1264.85320996188,130825.58,1160.115,15699.9999999998,690.6,744.184099999999,938.625256299998,59.6294706845374,6820.85033333329,-37.424,,,,,,,,136500,713,191.444600280505,110,67.3,"Houston","2A"
"Small Hotel",1.348,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,116.473,223470,66.48,829.18311,2698.58296773,180.921206217832,18772.9104,110.663,55140,6.56999999999999,194.76282,655.12231926,43.9686842724637,4551.5765,5.81,,,,,,,,40950,85,481.764705882353,80.9,70.2,"Houston","2A"
"Medium Office",1.013,223360,2.51,764.83768,2627.43512224,176.458730008752,18252.3710333333,204.251,190740,0,650.99562,2241.37791966,150.541683057612,15570.742,170.849,32620,2.51,113.84206,386.05720258,25.91704695114,2681.62903333333,33.402,,,,,,,,81900,113,724.778761061947,81.1,71.2,"Houston","2A"
"School",1.013,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1122.691,1614200,0,5509.2646,18968.3980178,1274.00851835796,131772.526666667,1134.33,4100,690.6,704.5933,802.314131900002,50.4741622884576,5873.90366666665,-11.6389999999999,,,,,,,,160000,713,224.403927068724,110.8,68.1,"Houston","2A"
"Small Hotel",1.013,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,116.473,222570,66.48,826.11141,2688.00710463,180.210880566412,18699.4404,110.026,56040,6.56999999999999,197.83452,665.698182359999,44.6790099238837,4625.0465,6.447,,,,,,,,61250,85,720.588235294118,79.8,70.6,"Houston","2A"
"Medium Office",1.783,223360,2.51,764.83768,2627.43512224,176.458730008752,18252.3710333333,204.251,187190,0,638.87947,2199.66201521,147.739842988122,15280.9436666667,169.512,36170,2.51,125.95821,427.77310703,28.71888702063,2971.42736666667,34.739,,,,,,,,54000,113,477.87610619469,80.8,35,"Houston","2A"
"School",1.783,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1122.691,1490800,0,5088.1004,17518.3296772,1176.61497904104,121698.973333333,1073.25,127500,690.6,1125.7575,2252.3824725,147.867701605378,15947.457,49.441,,,,,,,,160000,713,224.403927068724,98.1,66.9,"Houston","2A"
"Small Hotel",1.783,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,116.473,221480,66.48,822.39124,2675.19855932,179.35059727747,18610.4600666667,110.023,57130,6.56999999999999,201.55469,678.50672767,45.5392932128257,4714.02683333333,6.45,,,,,,,,31000,85,364.705882352941,79.9,69.3,"Houston","2A"
"Medium Office",0.917,225350,0.09,769.20955,2648.17689065,177.863806763976,22650.4114166667,215.823,233400,0,796.5942,2742.6738306,184.21111893492,23458.645,184.188,-8050,0.09,-27.3846500000001,-94.4969399500005,-6.34731217094438,-808.233583333338,31.635,,,,,,,,62100,125,496.8,91,76.3,"Phoenix","2B"
