"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"Medium Office",1.348,223361,0.025,762.356093,2624.733253199,176.289540961927,18233.8904966667,204.251,192660.86,0,657.55151518,2263.94986676474,152.05772320293,15727.5482046667,168.082,30700.14,0.025,104.80457782,360.78338643426,24.2318177589963,2506.342292,36.169,,,,,,,,42000,1352.71,372.58540263619,85.3,68.8,"Houston","2A"
"School",1.348,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1119.92,1329300,0,4536.9009,15620.5497987,1049.15098714734,108515.19,965.721,289000,690.6,1676.957,4150.162351,275.331693499078,29131.2403333333,154.199,,,,,,,,480000,713,673.211781206171,80.5,70.7,"Houston","2A"
"Small Hotel",1.348,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,160.251,223470,66.48,829.18311,2698.58296773,180.921206217832,18772.9104,110.701,55140,6.56999999999999,194.76282,655.12231926,43.9686842724637,4551.5765,49.55,,,,,,,,40950,85,481.764705882353,80.9,70.2,"Houston","2A"
"Medium Office",1.013,223361,0.025,762.356093,2624.733253199,176.289540961927,18233.8904966667,204.251,190740,0,650.99562,2241.37791966,150.541683057612,15.570742,170.849,32621,0.025,111.360473,383.355333539,25.7478579043147,18218.3197546667,33.402,,,,,,,,42000,1352.71,372.58540263619,85.3,68.8,"Houston","2A"
"School",1.013,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1119.92,1614200,0,5509.2646,18968.3980178,1274.00851835796,131772.526666667,1134.33,4100,690.6,704.5933,802.314131900002,50.4741622884576,5873.90366666665,-14.4099999999999,,,,,,,,160000,713,224.403927068724,110.8,68.1,"Houston","2A"
"Small Hotel",1.013,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,160.251,222570,66.48,826.11141,2688.00710463,180.210880566412,18699.4404,110.026,56040,6.56999999999999,197.83452,665.698182359999,44.6790099238837,4625.0465,50.225,,,,,,,,61250,85,720.588235294118,79.8,70.6,"Houston","2A"
"Medium Office",1.783,223361,0.025,762.356093,2624.733253199,176.289540961927,18233.8904966667,204.251,187190,0,638.87947,2199.66201521,147.739842988122,15280.9436666667,169.512,36171,0.025,123.476623,425.071237989,28.5496979738047,2952.94683,34.739,,,,,,,,42000,1352.71,372.58540263619,85.3,68.8,"Houston","2A"
"School",1.783,1618300,690.6,6213.8579,19770.7121497,1324.48268064642,137646.430333333,1119.92,1490800,0,5088.1004,17518.3296772,1176.61497904104,121698.973333333,1073.25,127500,690.6,1125.7575,2252.3824725,147.867701605378,15947.457,46.6700000000001,,,,,,,,160000,713,224.403927068724,98.1,66.9,"Houston","2A"
"Small Hotel",1.783,278610,73.05,1023.94593,3353.70528699,224.889890490296,23324.4869,160.251,221480,66.48,822.39124,2675.19855932,179.35059727747,18610.4600666667,110.023,57130,6.56999999999999,201.55469,678.50672767,45.5392932128257,4714.02683333333,50.228,,,,,,,,31000,85,364.705882352941,79.9,69.3,"Houston","2A"
"Medium Office",0.917,225348,0.001,769.113724,2648.056200732,177.856140508612,22649.3519,215.824,232689.71,,794.16998023,2734.32724193189,183.650522038312,23387.2549359167,176.863,-7341.70999999999,0.001,-25.05625623,-86.2710411998901,-5.7943815297003,-737.903035916668,38.961,,,,,,,,62100,1496.87,497.838823678743,91,76.3,"Phoenix","2B"
"School",0.917,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1422000,0,4853.286,16709.863698,1122.3145292436,142922.85,939.634,259400,465.7,1351.0322,3556.7431646,236.586323133437,30792.4676666667,266.059,,,,,,,,8e+05,685,1167.88321167883,85.2,78.7,"Phoenix","2B"
"Small Hotel",0.917,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,242520,62.18,889.90076,2917.74313668,195.662305069819,25002.4933,117.474,53350,1.23,183.31355,628.25682265,42.1906602418871,5374.50778333333,11.439,,,,,,,,76000,82,926.829268292683,85.5,77.6,"Phoenix","2B"
"Medium Office",0.576,225348000,1,769112.725,2648056.200732,177856.140508612,22649.3519,215.824,240170,0,819.70021,2822.22782303,189.554346335046,24139.0864166667,186.241,225107830,1,768293.02479,2645233.97290897,177666.586162277,-1489.73451666667,29.583,,,,,,,,105300,125,842.4,92.9,80,"Phoenix","2B"
"School",0.576,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1556800,0,5313.3584,18293.8929712,1228.70552681184,156471.373333333,1060.703,124600,465.7,890.9598,1972.7138914,130.195325565197,17243.9443333333,144.99,,,,,,,,160000,685,233.576642335766,119.2,80.3,"Phoenix","2B"
"Small Hotel",0.576,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,248760,62.18,911.19788,2991.06912084,200.587229586331,25629.6653,119.495,47110,1.23,162.01643,554.93083849,37.265735725375,4747.33578333334,9.41800000000001,,,,,,,,1e+05,82,1219.51219512195,89.3,80.2,"Phoenix","2B"
"Medium Office",1.46,225348000,1,769112.725,2648056.200732,177856.140508612,22649.3519,215.824,222450,0,759.22185,2614.00082955,175.56882350931,22358.07875,174.824,225125550,1,768353.50315,2645442.19990245,177680.571685103,291.273149999997,41,,,,,,,,97200,125,777.6,83.3,35,"Phoenix","2B"
"School",1.46,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1577700,0,5384.6901,18539.4880143,1245.20086693926,158571.9975,1054.496,103700,465.7,819.6281,1727.1188483,113.699985437777,15143.3201666667,151.197,,,,,,,,160000,685,233.576642335766,104.3,76.1,"Phoenix","2B"
"Small Hotel",1.46,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,236560,62.18,869.55928,2847.70742104,190.958370755971,24403.4636333333,115.331,59310,1.23,203.65503,698.29253829,46.894594555735,5973.53745,13.582,,,,,,,,1e+05,82,1219.51219512195,81.4,76,"Phoenix","2B"
"Medium Office",1.243,187641,0.219,640.637733,2205.200845719,148.110775043294,19418.139145,219.007,151279.36,,516.31645568,1777.67755690624,119.397344376001,15653.631776,160.221,36361.64,0.219,124.32127732,427.52328881276,28.7134306672928,3764.507369,58.786,,,,,,,,40800,1626.94,300.93303994001,63.3,54,"Atlanta","3A"
"School",1.243,1177600,1298.1,5317.2488,15255.4545184,1018.21393727583,134135.142,1069.992,1023000,0,3491.499,12021.231057,807.4034904474,105854.925,919.908,154600,1298.1,1825.7498,3234.2234614,210.810446828428,28280.217,150.084,,,,,,,,240000,698,343.839541547278,81.2,61.3,"Atlanta","3A"
"Small Hotel",1.243,243750,132.2,964.11875,3008.65865625,201.422572552401,26483.37525,120.764,184680,112.1,742.41284,2292.58030812,153.426657536676,20186.222,106.029,59070,20.1,221.70591,716.07834813,47.9959150157256,6297.15325,14.735,,,,,,,,21600,80,270,80,61.7,"Atlanta","3A"
"Medium Office",1.068,187641000,219,640418.952,2205200.845719,148110.775043294,19418.139145,219.007,157150,0,536.35295,1846.66320685,124.03075124517,16261.09625,167.079,187483850,219,639882.59905,2203354.18251215,147986.744292048,3157.042895,51.928,,,,,,,,48000,136,352.941176470588,79.9,61.6,"Atlanta","3A"
"School",1.068,1177600,1298.1,5317.2488,15255.4545184,1018.21393727583,134135.142,1069.992,1101900,0,3760.7847,12948.3817221,869.67537255522,114019.1025,998.494,75700.0000000005,1298.1,1556.4641,2307.0727963,148.538564720608,20116.0395,71.4979999999999,,,,,,,,160000,698,229.226361031519,94.5,59.1,"Atlanta","3A"
"Small Hotel",1.068,243750,132.2,964.11875,3008.65865625,201.422572552401,26483.37525,120.764,184760,112.1,742.68588,2293.52038484,153.48979759458,20194.5,105.804,58990,20.1,221.43287,715.13827141,47.9327749578216,6288.87525,14.96,,,,,,,,27000,80,337.5,80.1,62.9,"Atlanta","3A"
